Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
Overriding: n_layer = 3
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 28.92M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 14, with 29,700,096 parameters
num non-decayed parameter tensors: 7, with 5,376 parameters
using fused AdamW: True
step 0: train loss 9.3597, val loss 9.3576
iter 343: loss 5.8622, time 1045.44ms, mfu 30.43%
iter 344: loss 5.8975, time 1045.59ms, mfu 30.42%
iter 345: loss 5.7470, time 1045.24ms, mfu 30.42%
iter 346: loss 5.8589, time 1045.36ms, mfu 30.42%
iter 347: loss 5.9655, time 1045.41ms, mfu 30.42%
iter 348: loss 5.7394, time 1044.74ms, mfu 30.42%
iter 349: loss 5.9380, time 1045.36ms, mfu 30.42%
iter 350: loss 5.7419, time 1045.56ms, mfu 30.42%
iter 351: loss 5.8684, time 1045.36ms, mfu 30.42%
iter 352: loss 5.7915, time 1045.25ms, mfu 30.42%
iter 353: loss 5.8968, time 1045.62ms, mfu 30.42%
iter 354: loss 5.8709, time 1045.14ms, mfu 30.42%
iter 355: loss 5.9564, time 1044.89ms, mfu 30.42%
iter 356: loss 5.8170, time 1044.67ms, mfu 30.42%
iter 357: loss 5.8918, time 1043.68ms, mfu 30.43%
iter 358: loss 5.8928, time 1044.51ms, mfu 30.43%
iter 359: loss 5.8614, time 1043.87ms, mfu 30.43%
iter 360: loss 5.9418, time 1044.33ms, mfu 30.43%
iter 361: loss 5.9009, time 1044.36ms, mfu 30.43%
iter 362: loss 5.8506, time 1044.78ms, mfu 30.43%
iter 363: loss 5.8522, time 1043.51ms, mfu 30.44%
iter 364: loss 5.8425, time 1043.96ms, mfu 30.44%
iter 365: loss 5.6408, time 1044.53ms, mfu 30.44%
iter 366: loss 5.7291, time 1044.56ms, mfu 30.44%
iter 367: loss 5.9199, time 1044.00ms, mfu 30.44%
iter 368: loss 5.7835, time 1044.07ms, mfu 30.44%
iter 369: loss 5.7444, time 1044.16ms, mfu 30.44%
iter 370: loss 5.6021, time 1044.15ms, mfu 30.44%
iter 371: loss 5.8581, time 1044.36ms, mfu 30.44%
iter 372: loss 5.7661, time 1044.90ms, mfu 30.44%
iter 373: loss 5.7427, time 1044.08ms, mfu 30.44%
iter 374: loss 5.6560, time 1044.48ms, mfu 30.44%
iter 375: loss 5.4619, time 1044.14ms, mfu 30.44%
iter 376: loss 5.7585, time 1044.18ms, mfu 30.44%
iter 377: loss 5.8493, time 1044.14ms, mfu 30.45%
iter 378: loss 5.8196, time 1044.42ms, mfu 30.45%
iter 379: loss 5.3663, time 1044.36ms, mfu 30.45%
iter 380: loss 5.5813, time 1044.19ms, mfu 30.45%
iter 381: loss 5.8454, time 1044.33ms, mfu 30.45%
iter 382: loss 5.7507, time 1044.11ms, mfu 30.45%
iter 383: loss 5.6044, time 1044.14ms, mfu 30.45%
iter 384: loss 5.7514, time 1044.30ms, mfu 30.45%
iter 385: loss 5.6290, time 1045.57ms, mfu 30.44%
iter 386: loss 5.7469, time 1045.15ms, mfu 30.44%
iter 387: loss 5.5544, time 1045.78ms, mfu 30.44%
iter 388: loss 5.7458, time 1045.58ms, mfu 30.43%
iter 389: loss 5.6390, time 1045.40ms, mfu 30.43%
iter 390: loss 5.7340, time 1045.84ms, mfu 30.43%
iter 391: loss 5.7339, time 1045.70ms, mfu 30.43%
iter 392: loss 5.7313, time 1045.93ms, mfu 30.42%
iter 393: loss 5.6500, time 1045.82ms, mfu 30.42%
iter 394: loss 5.4749, time 1046.13ms, mfu 30.42%
